state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
SD  ,Kh,Kh,Kh;0,SDKh;0,0,,Hell Creek Formation,Phanerozoic | Mesozoic | Cretaceous-Late,"Tan to brown, light- to dark-gray, ""somber beds"" of shale. Interbedded with brown to red carbonaceous shale, gray and brown bentonitic silty shale, and gray, brown and yellow siltstone, sandstone, and claystone-pebble conglomerate. Thickness 260-600 ft (79-183 m).",,,SD001,shale,siltstone,sandstone; conglomerate,SD001 ,
SD  ,KMgp,KMgp,KMgp;0,SDKMgp;0,0,,"Greenhorn Formation, Belle Fourche Shale, Mowry Shale, Newcastle Sandstone, Skull Creek Shale, Inyan Kara Group, Morrison Formation, Unkpapa Sandstone, Sundance Formation, Spearfish Formation, Minnekahta Limestone, Opeche Shale, Minnelusa Formation, and Pahasapa Limestone",Phanerozoic | Paleozoic Mesozoic | Carboniferous Mississippian Permian(?) Triassic(?) Jurassic(?) Cretaceous-Early(?) Cretaceous-Middle(?) Cretaceous-Late,Note: see individual unit descriptions,,,SD001,sandstone,siltstone,shale; claystone; mudstone; limestone; conglomerate,SD001 ,
SD  ,Kms,Kms,Kms;0,SDKms;0,0,,"Mowry Shale, Newcastle Sandstone, and Skull Creek Shale",Phanerozoic | Mesozoic | Cretaceous-Early ,"Mowry Shale- Black to gray, siliceous, fissile shale and siltstone containing bentonite layers, and sparse sandstone dikes and sills. Thickness 125-250 ft (38-76 m). Newcastle Sandstone- Gray, light-brown to yellow, discontinuously distributed siltstone, claystone, sandy shale, and fine-grained sandstone. Thickness up to 290 ft (88 m). Skull Creek Shale- Dark-gray to blueish-gray shale containing ferruginous, and carbonate concretions. Thickness 150-275 ft (46-84 m).",,,SD001,shale,siltstone,sandstone; claystone,SD001 ,
SD  ,Kn,Kn,Kn;0,SDKn;0,0,,Niobrara Formation,Phanerozoic | Mesozoic | Cretaceous-Late,"White to dark gray argillaceous chalk, marl, and shale. Weathers yellow to orange. Contains thin, laterally continuous bentonite beds, chalky carbonaceous shale, minor sand, and small concretions. Thickness 160-225 ft (49-69 m).",,,SD001,limestone,limestone,shale; clay or mud; sand,SD001 ,
SD  ,Kp,Kp,Kp;0,SDKp;0,0,,Pierre Shale,Phanerozoic | Mesozoic | Cretaceous-Late,"Blue-gray to dark-gray, fissile to blocky shale with persistent beds of bentonite, black organic shale, or light-brown chalky shale. Contains minor sandstone, conglomerate, and abundant carbonate and ferruginous concretions. Thickness 1,000-2,700 ft (305-823 m).",,,SD001,shale,clay or mud,sandstone; conglomerate,SD001 ,
SD  ,MCpd,MCApd,MCApd;0,SDMCApd;0,0,,"Pahasapa Limestone, Englewood Formation, Whitewood Limestone, Winnipeg Formation, and Deadwood Formation",Phanerozoic | Paleozoic | Cambrian Ordovician(?) Silurian(?) Devonian(?) Carboniferous Mississippian,Note: see individual descriptions,,,SD001,conglomerate,limestone,dolostone (dolomite); shale; siltstone,SD001 ,
SD  ,MDpe,MDpe,MDpe;0,SDMDpe;0,0,,Madison Group,Phanerozoic | Paleozoic | Devonian Carboniferous Mississippian,"Includes: Pahasapa Limestone (Mississippian)-White, light-gray to tan, fine- to medium-crystalline limestone and dolomite containing brown to gray chert. Solution features including collapse breccia, sinkholes, and caves are prevalent. Thickness 300-630 ft (91-192 m). Englewood Formation (Mississippian to Dovonian)- Pink, lavender to light-gray, thin- to medium-bedded, finely crystalline, argillaceous, dolomitic limestone. Thickness 30-63 ft (9-19 m).",,,SD001,limestone,dolostone (dolomite),chert,SD001 ,
SD  ,OCwd,OCAwd,OCAwd;0,SDOCAwd;0,0,,"Whitewood Limestone, Winnipeg Formation, and Deadwood Formation",Phanerozoic | Paleozoic | Cambrian Ordovician,"Whitewood Limestone (Ordovician)- Mottled, tan, gray to lavender, fine- to medium-crystalline, sparsely fossiliferous limestone and dolomite. Thickness up to 70 ft (21 m). Winnipeg Formation (Ordovician)- Grat and light-green, fissile shale, and tan, calcareous siltstone, sandy shale, and limestone lenses. Thickness up to 110 ft (34 m). Deadwood Formation (Ordovician to Cambrian)- Variegated, yellow to red, brown, gray, and green, glauconitic, conglomerate, sandstone, shale, dolomitic limestone, and dolomite. Thickness 4-400 ft (1-122 m).",,,SD001,conglomerate,shale,limestone; dolostone (dolomite); siltstone,SD001 ,
SD  ,Qp,Qp,Qp;0,SDQp;0,0,,Pollock Formation,Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],Glaciolacustrine clay and silty clay with laminae of very fine-grained sand near the middle and base of the formation. Thickness up to 165 ft (50 m).,,,SD001,clay or mud,sand,,SD001 ,
SD  ,Pmo,Pmo,Pmo;0,SDPmo;0,0,,Minnekahta Limestone and Opeche Shale,Phanerozoic | Paleozoic | Permian,"Minnekahta Limestone-Purple to gray, finely crystalline, thin- to medium-bedded limestone with varying amounts of red shale. Thickness 30-50 ft (9-15 m). Opeche Shale- Red siltstone, argillaceous sandstone and shale interbedded with caliche layers. Thickness 85-130 ft (26-40 m).",,,SD001,siltstone,sandstone,shale; limestone,SD001 ,
